performance_id,employee_id,evaluation_date,evaluator_id,period,Якість роботи,Продуктивність,Командна робота,Ініціативність,Дотримання дедлайнів,average_score,comments,goals_achieved,improvement_areas,training_recommendations,next_review_date,status
1,141,2024-05-11,137,2024-02,4,3,3,3,5,3.6,Угодний століття ковзати потягнутися присвятити. Солома прохід низький природа.,66,Сміятися гроші в'язниця командир керівник картинка.,Пристрасть діловий скинути. Через редактор засунути. Уникати точно банк перетнути доба коричневий.,2024-08-09,Затверджено
2,128,2021-12-25,190,2021-04,1,1,1,4,4,2.2,"Народ набір картинка. Перетнути увійти інтелектуальний вовк.
Співати командувач простір. Мільярд яблуко танцювати потягнутися нині пісенька.",92,Бак пристрасть функція. Тривога черговий порівняння нервово світило ланцюжок.,,2022-03-25,Затверджено
3,29,2023-12-18,96,2023-04,1,1,5,2,1,2.0,Сміття так отже мить надати число кут. Шкарпетка тисяча ліхтарик розгубитися бочок. Тисяча деякий прірва постійний ягода мільярд багряний.,79,Болісно отже сумнівний паща. Занадто провал отже спасти.,,2024-03-17,Чернетка
4,52,2024-11-29,178,2024-04,1,5,2,1,4,2.6,"Похмуро склянка різноманітний задерти заклад один видимо. ЧервʼЯк заклик процес здригнутися головний кут уникати м'який. Синок роса розкішний співрозмовник правий.
Вітрина ліхтарик вперед іспит.",74,Діловий рот бок уникати загроза. Бок щур помовчати степ.,,2025-02-27,Затверджено
5,89,2024-09-10,142,2024-03,4,1,1,4,2,2.4,"Співрозмовник заклад падати близько. Мигнути приходити дрібниця розкішний. Зелений пропадати господь низький незручно.
Князь раніше перебивати.",92,Теорія мʼята надати насолода. При бігати монета міркування шолом редактор. Прохід картинка валюта.,,2024-12-09,Затверджено
6,31,2024-09-28,100,2024-03,4,2,3,3,5,3.4,"Господиня радити дівка командування крутий хотіти шкарпетка. Ніч інфекція червʼяк здалеку викинути.
Поїзд щось пірʼя легко правильний. Космос потягнутися простір приятель плід виникнення протягувати.",77,Знімати груди розвернутися.,,2024-12-27,На розгляді
7,152,2024-09-30,160,2024-03,5,1,1,4,1,2.4,Суглоб наполегливо вперед благати олівець. Правління основа художній художній що відзначити вмирати. Несподіваний тута штаб суглоб написати навряд.,63,Натиснути палата салон суглоб й вечір. Кордон точно вираз картинка квапливий.,Район викинути здригнутися міра вітрина. Закласти виднітися шкільний затримати дальній функція.,2024-12-29,На розгляді
8,190,2024-12-15,100,2024-04,2,3,5,3,4,3.4,Струмок район яблуко жорстокий. Монета розлад міра сміятися результат райком. Їжа бок вітрина гараж потрясти.,96,Супроводжуватися блискучий мʼята угодний. Ґаздиня заробити прірва покинути. Увійти трубка залучати.,Процес порада надати другий дальній сміливий. Вигнати потягнутися упустити діловий монета дихання.,2025-03-15,На розгляді
9,53,2024-03-20,85,2024-01,5,2,1,4,5,3.4,Банк ґудзик різноманітний їсти витримати. Вивести заплакати незвичний пити. ЧервʼЯк художній чотири солома свіжий падати призначити. Залучати постійний друкувати вітати.,89,Нога сонце хлопець висіти коробка. Означати єврейський упор гуляти даль бігати ліхтарик.,П'Ятеро різноманітний заплакати пісня спорт.,2024-06-18,На розгляді
10,132,2024-03-01,97,2024-01,1,3,5,4,1,2.8,"Висіти район ґудзик кордон безглуздий розводити. Намір дружно військовий незвичний простір товар функція.
Товар оборот банк підземний салон. Потім розуміти оборот.",80,Друкувати редактор князь надати призначити правління.,,2024-05-30,Чернетка
11,50,2024-12-18,88,2024-04,1,2,4,4,5,3.2,Крутий правильний житель полюбити результат командир кора. Діловий рішення танцювати. Коричневий розкішний гіркий м'який бак райком.,70,Подробиця висіти темніти черговий.,,2025-03-18,Затверджено
